RANKED SIMILARITIES: 1
3 29 1.04280469796
3 60 1.04536589616
3 86 1.04591773526
3 36 1.04631928939
3 11 1.04640153004
3 65 1.04829856832
3 74 1.05015384407
3 85 1.05689814855
3 42 1.06381125259
3 10 1.07415622335
3 5 1.07703323557
3 84 1.07822504163
3 4 1.08148143986
3 81 1.08227781152
3 50 1.08909263038
3 9 1.08994182199
3 19 1.09064798876
3 21 1.09119388899
3 13 1.09358025652
3 38 1.09687342489
3 39 1.09911123621
3 56 1.09924503996
3 25 inf
3 48 inf
3 52 inf
3 53 inf
3 55 inf
3 64 inf
3 67 inf
3 87 inf
RANKED SIMILARITIES: 4
4 47 0.174175819187
4 12 0.183080264773
4 19 0.223049487265
4 9 0.250048606043
4 56 0.276708167115
4 82 0.297999099004
4 15 0.306655373038
4 6 0.974366667639
4 65 0.974441406621
4 32 0.997647260647
4 44 1.00852585245
4 89 1.00921033202
4 69 1.02132035795
4 95 1.02933861826
4 63 1.04827368482
4 33 1.05017910204
4 29 1.05209445756
4 68 1.05735273444
4 31 1.07878537715
4 3 1.08148143986
4 94 1.0869858956
4 51 1.0922778742
4 97 1.09960660309
4 73 1.11047352084
4 14 1.12890820794
4 78 1.16181389345
4 85 1.18161275646
4 5 1.22424642694
4 83 1.24765773382
4 16 1.25555082079
4 92 1.33208248741
4 13 1.3506552966
4 40 1.36184316136
4 91 1.39564083272
4 8 1.42109573498
4 76 1.42512471704
4 54 1.47772666165
4 18 1.48333207325
4 45 1.52085547805
4 27 1.52961092227
4 37 1.57450833011
4 75 1.57774091513
4 79 1.58282152551
4 7 1.59581932834
4 2 1.59852226632
4 88 1.61848130577
4 58 1.72794881484
4 41 1.73179797132
4 34 1.80461159005
4 80 1.80857243055
4 90 1.81127973696
4 30 1.82646571165
4 72 1.83144119408
4 35 1.85217548893
4 20 1.8550969253
4 71 1.85676463723
4 57 1.85974016027
4 26 1.86351797359
4 59 1.86715857482
4 62 1.86732034808
4 77 1.87892877298
4 96 1.88877095262
4 46 1.89111932757
4 43 1.89381909726
4 28 1.89738674287
4 66 1.89936720324
4 86 1.9018924482
4 93 1.90258210195
4 74 1.906128557
4 49 1.90862705001
4 24 1.90939175728
4 17 1.91142360261
4 61 1.91548001993
4 70 1.9194313448
4 42 1.91978596553
4 22 1.92035652119
4 23 1.92125660503
4 10 1.93013093628
4 84 1.93419975456
4 81 1.93825252445
4 60 1.94009549396
4 36 1.94216466312
4 11 1.94224118059
4 50 1.94506734331
4 21 1.94716860193
4 38 1.95284813783
4 39 1.95508594915
4 25 inf
4 48 inf
4 52 inf
4 53 inf
4 55 inf
4 64 inf
4 67 inf
4 87 inf
RANKED SIMILARITIES: 5
5 13 0.259755090618
5 29 0.340090408603
5 78 0.819890823409
5 6 0.979485616857
5 32 0.993066987151
5 44 1.00395126212
5 89 1.00476388801
5 69 1.01678704184
5 95 1.02476155776
5 63 1.04369729124
5 33 1.0456045117
5 68 1.05277447646
5 31 1.07421078681
5 3 1.07703323557
5 94 1.08243821993
5 47 1.0876189521
5 51 1.08770328386
5 97 1.09516246344
5 15 1.09899591304
5 82 1.10265717172
5 73 1.10589893051
5 14 1.12432793445
5 12 1.16514243307
5 85 1.19983022949
5 65 1.20056126248
5 19 1.20769881792
5 9 1.20998406475
5 56 1.2212699246
5 4 1.22424642694
5 83 1.24307802325
5 16 1.25097490636
5 92 1.32763943399
5 40 1.35740010794
5 91 1.40329632792
5 8 1.41652031674
5 76 1.42067598045
5 54 1.47315207132
5 18 1.47875356277
5 45 1.51628088772
5 27 1.52516218568
5 37 1.56992805661
5 75 1.5731663248
5 79 1.57824693518
5 7 1.59123905485
5 2 1.59914547469
5 88 1.61403354165
5 58 1.72350007826
5 41 1.72722246997
5 34 1.80003699972
5 80 1.80412369397
5 90 1.80669946346
5 30 1.82188543816
5 72 1.82686092059
5 35 1.84772675235
5 20 1.85065334896
5 71 1.85231590065
5 57 1.85515988678
5 26 1.85907492017
5 59 1.86271552139
5 62 1.86274007458
5 77 1.874484472
5 96 1.88419067913
5 46 1.88667059098
5 43 1.88923882376
5 28 1.89280646937
5 66 1.89492414982
5 86 1.8973121747
5 93 1.89813904852
5 74 1.90154828351
5 49 1.90418399658
5 24 1.9049430207
5 17 1.90697486603
5 61 1.9110369665
5 70 1.91498829138
5 42 1.91520569203
5 22 1.91591346776
5 23 1.91681355161
5 10 1.92555066279
5 84 1.92961948107
5 81 1.93367225096
5 60 1.93564763997
5 36 1.9377216097
5 11 1.93779812716
5 50 1.94048706981
5 21 1.94258832843
5 38 1.94826786433
5 39 1.95050567565
5 25 inf
5 48 inf
5 52 inf
5 53 inf
5 55 inf
5 64 inf
5 67 inf
5 87 inf
RANKED SIMILARITIES: 6
6 32 0.0441249289963
6 44 0.0550035208038
